epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7262499928474426,0.0010000000474974513,0.8232705593109131,0.5,0.8376318216323853
1,0.8543750047683716,0.0010000000474974513,0.35011008381843567,0.5,1.3944941759109497
2,0.8818749785423279,0.0010000000474974513,0.28807228803634644,0.5,2.021859645843506
3,0.8949999809265137,0.0010000000474974513,0.2559734880924225,0.5,3.142582893371582
4,0.9212499856948853,0.0010000000474974513,0.17650316655635834,0.5,4.1757307052612305
5,0.9331250190734863,0.0010000000474974513,0.14967606961727142,0.5,4.905769348144531
6,0.934374988079071,0.0010000000474974513,0.15714429318904877,0.5,5.295490741729736
7,0.9331250190734863,0.0010000000474974513,0.1516730934381485,0.5,5.195428848266602
8,0.9599999785423279,0.0010000000474974513,0.09124772995710373,0.5149999856948853,3.5045602321624756
9,0.9612500071525574,0.0010000000474974513,0.09258613735437393,0.7250000238418579,1.10604727268219
10,0.9593750238418579,0.0010000000474974513,0.09200949966907501,0.8050000071525574,0.7583474516868591
11,0.9731249809265137,0.0010000000474974513,0.0682612732052803,0.8149999976158142,0.5861047506332397
12,0.9700000286102295,0.0010000000474974513,0.06179385632276535,0.8650000095367432,0.413196325302124
13,0.9762499928474426,0.0010000000474974513,0.05565047636628151,0.8899999856948853,0.338684618473053
14,0.9787499904632568,0.0010000000474974513,0.05526227876543999,0.9150000214576721,0.3135437071323395
15,0.9674999713897705,0.0010000000474974513,0.0710475891828537,0.8899999856948853,0.34038245677948
16,0.9781249761581421,0.0010000000474974513,0.05230231210589409,0.9049999713897705,0.38432636857032776
17,0.9725000262260437,0.0010000000474974513,0.06668757647275925,0.9100000262260437,0.33211520314216614
18,0.9800000190734863,0.0010000000474974513,0.04436212033033371,0.9100000262260437,0.4068996012210846
19,0.9787499904632568,0.0010000000474974513,0.052782949060201645,0.9049999713897705,0.3382992148399353
20,0.9806249737739563,0.0010000000474974513,0.05429840087890625,0.8999999761581421,0.3202997148036957
21,0.9831249713897705,0.0010000000474974513,0.04216575250029564,0.9200000166893005,0.3281855881214142
22,0.9793750047683716,0.0010000000474974513,0.043516773730516434,0.8949999809265137,0.3803919553756714
23,0.981249988079071,0.0010000000474974513,0.042107850313186646,0.9150000214576721,0.3752281963825226
24,0.9837499856948853,0.0010000000474974513,0.03532373905181885,0.9150000214576721,0.33038994669914246
